# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAC1	YMR056C	YMR056C	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC3	YBR085W	YBR085W	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD10	YJR155W	YJR155W	protein_coding	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5
AAD14	YNL331C	YNL331C	protein_coding	0	5	3	54	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	5	50
AAD16	YFL057C	YFL057C	protein_coding	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5
AAD3	YCR107W	YCR107W	protein_coding	0	0	4	8	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	5
AAD4	YDL243C	YDL243C	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
AAD6	YFL056C	YFL056C	protein_coding	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7
AAH1	YNL141W	YNL141W	protein_coding	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
AAP1	YHR047C	YHR047C	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2
AAR2	YBL074C	YBL074C	protein_coding	0	0	1	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3
AAT1	YKL106W	YKL106W	protein_coding	0	1	1	57	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	1	34
AAT2	YLR027C	YLR027C	protein_coding	0	3	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	5
ABD1	YBR236C	YBR236C	protein_coding	0	3	3	66	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	3	39
ABF1	YKL112W	YKL112W	protein_coding	0	7	2	39	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	0	7	17
ABM1	YJR108W	YJR108W	protein_coding	1	2	2	54	0	0	0	0	21	0	0	0	2	0	0	1	0	0	1	0	2	33
ABP1	YCR088W	YCR088W	protein_coding	0	3	5	18	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	3	17
ABP140	YOR239W	YOR239W	protein_coding	1	0	1	12	0	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	6
ABZ1	YNR033W	YNR033W	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABZ2	YMR289W	YMR289W	protein_coding	0	0	1	15	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	10
ACA1	YER045C	YER045C	protein_coding	0	5	6	30	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	5	21
ACC1	YNR016C	YNR016C	protein_coding	0	6	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0
ACE2	YLR131C	YLR131C	protein_coding	0	1	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	5
ACF2	YLR144C	YLR144C	protein_coding	0	1	2	4	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	1
ACF4	YJR083C	YJR083C	protein_coding	0	3	4	72	0	0	0	0	33	0	0	0	4	0	0	0	0	0	0	0	3	39
ACH1	YBL015W	YBL015W	protein_coding	0	2	0	51	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	2	21
ACK1	YDL203C	YDL203C	protein_coding	0	11	5	43	0	0	0	0	18	0	0	0	5	0	0	0	0	0	0	0	11	25
ACM1	YPL267W	YPL267W	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	YLR304C	YLR304C	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO2	YJL200C	YJL200C	protein_coding	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
ACP1	YKL192C	YKL192C	protein_coding	0	1	1	52	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	1	32
ACS1	YAL054C	YAL054C	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4
ACS2	YLR153C	YLR153C	protein_coding	0	1	2	23	0	0	0	0	18	0	0	0	2	0	0	0	0	0	0	0	1	5
ACT1	YFL039C	YFL039C	protein_coding	0	0	0	32	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	12
ADA2	YDR448W	YDR448W	protein_coding	0	1	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	3
ADD37	YMR184W	YMR184W	protein_coding	0	0	2	9	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	2
ADD66	YKL206C	YKL206C	protein_coding	0	0	0	61	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	15
ADE1	YAR015W	YAR015W	protein_coding	0	4	0	18	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	4	9
ADE12	YNL220W	YNL220W	protein_coding	0	3	1	10	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	3	6
ADE13	YLR359W	YLR359W	protein_coding	0	4	0	50	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	4	26
ADE16	YLR028C	YLR028C	protein_coding	0	1	1	10	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	1	0
ADE17	YMR120C	YMR120C	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ADE2	YOR128C	YOR128C	protein_coding	0	1	1	23	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	1	10
ADE3	YGR204W	YGR204W	protein_coding	0	10	2	31	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	0	10	9
ADE4	YMR300C	YMR300C	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ADE5,7	YGL234W	YGL234W	protein_coding	0	0	0	28	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	27
ADE6	YGR061C	YGR061C	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADE8	YDR408C	YDR408C	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3
ADF1	YCL058W-A	YCL058W-A	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH1	YOL086C	YOL086C	protein_coding	0	2	1	69	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	0	2	37
ADH2	YMR303C	YMR303C	protein_coding	0	1	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	2
ADH3	YMR083W	YMR083W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADH4	YGL256W	YGL256W	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH5	YBR145W	YBR145W	protein_coding	0	3	0	80	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	3	36
ADH6	YMR318C	YMR318C	protein_coding	0	1	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	8
ADH7	YCR105W	YCR105W	protein_coding	0	0	0	21	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	11
ADI1	YMR009W	YMR009W	protein_coding	0	2	0	23	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	17
ADK1	YDR226W	YDR226W	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADK2	YER170W	YER170W	protein_coding	1	0	3	41	0	0	0	0	13	1	0	0	3	0	0	0	0	0	0	0	0	28
ADO1	YJR105W	YJR105W	protein_coding	0	2	0	70	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	2	28
ADP1	YCR011C	YCR011C	protein_coding	0	2	2	13	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	2	3
ADY2	YCR010C	YCR010C	protein_coding	0	0	0	16	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	7
ADY3	YDL239C	YDL239C	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ADY4	YLR227C	YLR227C	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
AEP2	YMR282C	YMR282C	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AEP3	YPL005W	YPL005W	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
